iter	Passed	Remaining
423	2105	2859
424	2109	2854
425	2113	2848
426	2118	2843
427	2123	2837
428	2127	2831
429	2132	2827
430	2136	2820
431	2140	2814
432	2145	2809
433	2149	2803
434	2153	2796
435	2157	2790
436	2161	2784
437	2166	2780
438	2170	2774
439	2174	2767
440	2178	2761
441	2182	2755
442	2187	2749
443	2191	2744
444	2195	2738
445	2199	2732
446	2204	2726
447	2208	2721
448	2212	2715
449	2216	2709
450	2220	2703
451	2225	2697
452	2229	2692
453	2233	2686
454	2237	2680
455	2241	2674
456	2245	2668
457	2250	2662
458	2253	2656
459	2258	2650
460	2262	2645
461	2266	2639
462	2270	2633
463	2274	2627
464	2278	2621
465	2282	2615
466	2287	2610
467	2291	2604
468	2295	2598
469	2299	2592
470	2303	2587
471	2307	2581
472	2312	2575
473	2315	2569
474	2320	2564
475	2323	2558
476	2328	2552
477	2332	2546
478	2336	2540
479	2340	2535
480	2344	2529
481	2348	2524
482	2352	2518
483	2357	2513
484	2361	2507
485	2365	2502
486	2369	2496
487	2373	2490
488	2377	2484
489	2381	2478
490	2385	2473
491	2390	2467
492	2394	2462
493	2398	2456
494	2402	2451
495	2407	2445
496	2411	2440
497	2415	2434
498	2419	2429
499	2423	2423
500	2427	2418
501	2432	2413
502	2436	2407
503	2440	2401
504	2444	2396
505	2449	2391
506	2453	2385
507	2458	2380
508	2462	2375
509	2466	2369
510	2470	2363
511	2474	2358
512	2478	2353
513	2482	2347
514	2487	2342
515	2492	2337
516	2496	2332
517	2500	2326
518	2504	2321
519	2508	2315
520	2512	2309
521	2516	2304
522	2520	2298
523	2524	2293
524	2528	2287
525	2532	2281
526	2536	2276
527	2540	2271
528	2545	2266
529	2549	2260
530	2552	2254
531	2556	2248
532	2560	2243
533	2564	2237
534	2568	2232
535	2572	2227
536	2577	2221
537	2581	2216
538	2585	2211
539	2589	2205
540	2593	2200
541	2597	2194
542	2602	2190
543	2606	2184
544	2611	2180
545	2615	2174
546	2619	2169
547	2623	2163
548	2627	2158
549	2632	2153
550	2636	2148
551	2641	2143
552	2645	2138
553	2650	2133
554	2654	2128
555	2658	2122
556	2662	2117
557	2666	2112
558	2669	2106
559	2674	2101
560	2678	2095
561	2682	2090
562	2686	2085
563	2691	2080
564	2696	2075
565	2700	2070
566	2705	2065
567	2709	2060
568	2713	2055
569	2718	2050
570	2722	2045
571	2727	2040
572	2731	2035
573	2735	2030
574	2740	2025
575	2744	2019
576	2748	2014
577	2752	2009
578	2756	2004
579	2760	1999
580	2764	1993
581	2769	1988
582	2773	1983
583	2777	1978
584	2781	1973
585	2785	1968
586	2789	1962
587	2794	1957
588	2798	1952
589	2803	1947
590	2807	1942
591	2811	1937
592	2816	1932
593	2820	1927
594	2824	1922
595	2829	1918
596	2833	1913
597	2838	1908
598	2843	1903
599	2847	1898
600	2852	1893
601	2856	1888
602	2861	1883
603	2865	1878
604	2869	1873
605	2873	1868
606	2878	1863
607	2882	1858
608	2887	1853
609	2890	1848
610	2895	1843
611	2899	1838
612	2904	1833
613	2908	1828
614	2913	1823
615	2917	1818
616	2922	1814
617	2927	1809
618	2931	1804
619	2936	1799
620	2940	1794
621	2944	1789
622	2949	1784
623	2953	1779
624	2957	1774
625	2962	1770
626	2966	1765
627	2971	1759
628	2975	1755
629	2980	1750
630	2984	1745
631	2988	1739
632	2992	1734
633	2996	1729
634	3001	1725
635	3004	1719
636	3009	1715
637	3013	1710
638	3018	1705
639	3022	1699
640	3026	1695
641	3030	1689
642	3034	1684
643	3039	1680
644	3043	1675
645	3048	1670
646	3052	1665
647	3056	1660
648	3061	1655
649	3065	1650
650	3069	1645
651	3074	1640
652	3078	1636
653	3083	1631
654	3088	1626
655	3092	1621
656	3096	1616
657	3101	1611
658	3105	1606
659	3108	1601
660	3113	1596
661	3117	1591
662	3121	1586
663	3125	1581
664	3129	1576
665	3133	1571
666	3137	1566
667	3141	1561
668	3146	1556
669	3150	1551
670	3154	1546
671	3159	1541
672	3163	1536
673	3167	1531
674	3171	1526
675	3176	1522
676	3180	1517
677	3183	1512
678	3188	1507
679	3192	1502
680	3197	1497
681	3201	1492
682	3205	1487
683	3209	1482
684	3213	1477
685	3218	1473
686	3222	1468
687	3226	1463
688	3230	1458
689	3235	1453
690	3239	1448
691	3244	1444
692	3249	1439
693	3253	1434
694	3258	1430
695	3262	1425
696	3267	1420
697	3271	1415
698	3275	1410
699	3279	1405
700	3283	1400
701	3287	1395
702	3292	1390
703	3296	1385
704	3301	1381
705	3305	1376
706	3309	1371
707	3313	1366
708	3318	1361
709	3322	1356
710	3326	1351
711	3330	1347
712	3334	1342
713	3339	1337
714	3343	1332
715	3348	1327
716	3352	1323
717	3356	1318
718	3360	1313
719	3365	1308
720	3369	1303
721	3373	1298
722	3377	1293
723	3381	1289
724	3385	1284
725	3389	1279
726	3393	1274
727	3397	1269
728	3401	1264
729	3405	1259
730	3409	1254
731	3413	1249
732	3417	1244
733	3421	1240
734	3426	1235
735	3430	1230
736	3434	1225
737	3438	1220
738	3443	1216
739	3447	1211
740	3451	1206
741	3455	1201
742	3459	1196
743	3463	1191
744	3467	1187
745	3472	1182
746	3476	1177
747	3480	1172
748	3485	1167
749	3489	1163
750	3493	1158
751	3497	1153
752	3501	1148
753	3505	1143
754	3510	1139
755	3514	1134
756	3518	1129
757	3522	1124
758	3526	1119
759	3530	1114
760	3534	1110
761	3538	1105
762	3543	1100
763	3547	1095
764	3550	1090
765	3554	1085
766	3558	1081
767	3562	1076
768	3566	1071
769	3569	1066
770	3573	1061
771	3578	1056
772	3582	1051
773	3586	1047
774	3590	1042
775	3594	1037
776	3598	1032
777	3602	1027
778	3606	1023
779	3610	1018
780	3615	1013
781	3619	1008
782	3623	1004
783	3628	999
784	3632	994
785	3637	990
786	3640	985
787	3645	980
788	3649	975
789	3653	971
790	3658	966
791	3662	961
792	3666	956
793	3670	952
794	3675	947
795	3679	943
796	3684	938
797	3688	933
798	3692	928
799	3697	924
800	3701	919
801	3706	915
802	3711	910
803	3716	906
804	3720	901
805	3724	896
806	3729	891
807	3733	887
808	3738	882
809	3743	878
810	3747	873
811	3751	868
812	3755	863
813	3760	859
814	3764	854
815	3769	849
816	3773	845
817	3777	840
818	3781	835
819	3785	831
820	3790	826
821	3795	821
822	3799	817
823	3803	812
824	3807	807
825	3811	802
826	3816	798
827	3820	793
828	3824	788
829	3828	784
830	3834	779
831	3839	775
832	3843	770
833	3847	765
834	3851	761
835	3856	756
836	3860	751
837	3864	747
838	3869	742
839	3873	737
840	3878	733
841	3882	728
842	3886	723
843	3891	719
844	3895	714
845	3900	709
846	3904	705
847	3909	700
848	3913	696
849	3917	691
850	3922	686
851	3926	682
852	3931	677
853	3935	672
854	3940	668
855	3944	663
856	3948	658
857	3953	654
858	3957	649
859	3961	644
860	3965	640
861	3970	635
862	3974	630
863	3978	626
864	3983	621
865	3987	616
866	3991	612
867	3996	607
868	4000	603
869	4004	598
870	4008	593
871	4012	589
872	4016	584
873	4020	579
874	4024	574
875	4028	570
876	4033	565
877	4037	561
878	4042	556
879	4046	551
880	4050	547
881	4054	542
882	4058	537
883	4062	533
884	4066	528
885	4071	523
886	4075	519
887	4079	514
888	4083	509
889	4088	505
890	4092	500
891	4097	496
892	4101	491
893	4106	486
894	4110	482
895	4114	477
896	4118	472
897	4122	468
898	4126	463
899	4131	459
900	4135	454
901	4139	449
902	4143	445
903	4148	440
904	4152	435
905	4157	431
906	4161	426
907	4165	422
908	4169	417
909	4173	412
910	4178	408
911	4182	403
912	4186	398
913	4190	394
914	4194	389
915	4198	385
916	4203	380
917	4208	375
918	4212	371
919	4216	366
920	4221	362
921	4225	357
922	4229	352
923	4233	348
924	4238	343
925	4242	339
926	4246	334
927	4250	329
928	4254	325
929	4259	320
930	4263	316
931	4268	311
932	4272	306
933	4276	302
934	4280	297
935	4284	292
936	4289	288
937	4293	283
938	4297	279
939	4302	274
940	4306	270
941	4310	265
942	4314	260
943	4318	256
944	4322	251
945	4326	246
946	4330	242
947	4335	237
948	4339	233
949	4343	228
950	4347	224
951	4351	219
952	4356	214
953	4360	210
954	4364	205
955	4368	201
956	4372	196
957	4376	191
958	4381	187
959	4385	182
960	4389	178
961	4394	173
962	4398	168
963	4402	164
964	4406	159
965	4410	155
966	4414	150
967	4419	146
968	4423	141
969	4427	136
970	4431	132
971	4435	127
972	4439	123
973	4443	118
974	4447	114
975	4452	109
976	4456	104
977	4460	100
978	4464	95
979	4468	91
980	4472	86
981	4477	82
982	4481	77
983	4485	72
984	4489	68
985	4493	63
986	4498	59
987	4502	54
988	4506	50
989	4510	45
990	4514	40
991	4518	36
992	4521	31
993	4526	27
994	4530	22
995	4534	18
996	4538	13
997	4542	9
998	4546	4
999	4550	0
